ID,timestamp,date,anger,joy,sadness,fear,surprise,time_of_day
306198886672896000,1361831278.0,2013-02-26 00:27:58,0.035236187279224,0.5932040810585021,0.044173546135425006,0.09405002743005701,0.23333615064620902,Night
306206479625625600,1361833088.0,2013-02-26 00:58:08,0.18789622187614402,0.19360376894474002,0.10346500575542401,0.18064606189727703,0.334388941526412,Night
306214262395789312,1361834943.0,2013-02-26 01:29:03,0.017643878236413002,0.7168501615524291,0.021766390651464,0.043232001364231006,0.20050759613513902,Night
325915184629702657,1366528409.0,2013-04-21 10:13:29,0.08650594949722201,0.09296876192092801,0.270295113325119,0.5221673846244811,0.028062734752893004,Morning
325965190145376256,1366540332.0,2013-04-21 13:32:12,0.135315507650375,0.145021587610244,0.396765351295471,0.22699682414531702,0.095900706946849,Afternoon
326038035999367168,1366557699.0,2013-04-21 18:21:39,0.011698126792907,0.7045711874961851,0.030061744153499003,0.09229040890932001,0.16137850284576402,Afternoon
326404032354721792,1366644960.0,2013-04-22 18:36:00,0.20472887158393802,0.074241235852241,0.513363778591156,0.184540331363677,0.023125741630792,Afternoon
326404947509903361,1366645178.0,2013-04-22 18:39:38,0.14659768342971802,0.14196582138538302,0.394168555736541,0.280488103628158,0.036779802292585005,Afternoon
355979983291817985,1373696416.0,2013-07-13 09:20:16,0.07734857499599401,0.407117933034896,0.19923137128353102,0.115274205803871,0.20102789998054502,Morning
359087532669009921,1374437313.0,2013-07-21 23:08:33,0.223061740398406,0.045651618391275,0.28325065970420804,0.37466078996658303,0.073375239968299,Evening
359088975530565632,1374437657.0,2013-07-21 23:14:17,0.5153516530990601,0.07110191136598501,0.11246994137763901,0.22738613188266701,0.07369033247232401,Evening
359091384445186051,1374438232.0,2013-07-21 23:23:52,0.025011910125613,0.702349662780761,0.056031163781881006,0.18287593126296903,0.033731348812580005,Evening
359409410600210434,1374514055.0,2013-07-22 20:27:35,0.22399988770484902,0.019618142396211003,0.40276697278022705,0.308221340179443,0.045393634587526,Evening
359410492533522432,1374514313.0,2013-07-22 20:31:53,0.014760836027562,0.8260278701782221,0.044563509523868006,0.028492242097854004,0.086155481636524,Evening
359668776767197186,1374575893.0,2013-07-23 13:38:13,0.078092060983181,0.342054843902587,0.114591650664806,0.165255159139633,0.30000627040863004,Afternoon
361064032138043392,1374908548.0,2013-07-27 10:02:28,0.27591252326965304,0.016936045140028,0.5702244043350221,0.07956768572330401,0.05735933408141101,Morning
361768554267295744,1375076519.0,2013-07-29 08:41:59,0.250431090593338,0.12369990348815901,0.39031475782394404,0.177223101258277,0.058331105858087005,Morning
361768902797164544,1375076602.0,2013-07-29 08:43:22,0.23196724057197501,0.070730708539485,0.43757253885269104,0.132657155394554,0.127072364091873,Morning
361770947843342336,1375077090.0,2013-07-29 08:51:30,0.223038256168365,0.210350662469863,0.17237928509712203,0.326583862304687,0.067647986114025,Morning
361771721600155648,1375077274.0,2013-07-29 08:54:34,0.069549545645713,0.054617073386907,0.30765089392662004,0.562560677528381,0.00562176760286,Morning
361781337708953600,1375079567.0,2013-07-29 09:32:47,0.057691089808940006,0.33654522895812905,0.13767385482788,0.23976343870162903,0.22832638025283802,Morning
365173911681376258,1375888419.0,2013-08-07 18:13:39,0.24408090114593503,0.12765464186668302,0.37214589118957503,0.250997483730316,0.005121082067489,Afternoon
365246366512971777,1375905694.0,2013-08-07 23:01:34,0.06892704218626,0.08921551704406701,0.252884656190872,0.5732008814811701,0.015771882608532,Evening
368764584917610496,1376744503.0,2013-08-17 16:01:43,0.22589196264743802,0.190685361623764,0.388137578964233,0.108040079474449,0.08724496513605101,Afternoon
376426590257049601,1378571267.0,2013-09-07 19:27:47,0.525668025016784,0.028441816568374002,0.365063488483428,0.037537433207035,0.043289318680763,Evening
376637277822541824,1378621499.0,2013-09-08 09:24:59,0.176065564155578,0.06386262923479001,0.564391732215881,0.119661703705787,0.07601837813854201,Morning
376963936324947968,1378699380.0,2013-09-09 07:03:00,0.06341744214296301,0.51125818490982,0.18536227941513,0.037437815219163,0.202524244785308,Morning
385345019911372800,1380697586.0,2013-10-02 10:06:26,0.19318535923957803,0.137726381421089,0.169887721538543,0.48626452684402405,0.012936055660247001,Morning
385346076871757824,1380697838.0,2013-10-02 10:10:38,0.05836883187294001,0.318476676940917,0.156755998730659,0.457029342651367,0.009369168430566,Morning
388067216991997952,1381346609.0,2013-10-09 22:23:29,0.24463140964508,0.15850162506103502,0.189425289630889,0.252761602401733,0.154680103063583,Evening
388328407538630656,1381408881.0,2013-10-10 15:41:21,0.315609633922576,0.028444888070225,0.40645539760589605,0.22617962956428503,0.023310370743274002,Afternoon
388572376155586560,1381467048.0,2013-10-11 07:50:48,0.13130760192871002,0.12471994757652201,0.453923821449279,0.25743710994720403,0.032611530274152,Morning
389335079274549250,1381648891.0,2013-10-13 10:21:31,0.132753357291221,0.103453449904918,0.41456389427185003,0.320426225662231,0.028803121298551,Morning
390486020292374528,1381923296.0,2013-10-16 14:34:56,0.13208040595054601,0.468824297189712,0.271716952323913,0.094500333070755,0.032878030091524,Afternoon
390792539965767680,1381996376.0,2013-10-17 10:52:56,0.41661500930786105,0.03660774230957,0.46569609642028803,0.044254481792449,0.036826711148023,Morning
391711355553992705,1382215439.0,2013-10-19 23:43:59,0.09295290708541801,0.056890346109867006,0.166360944509506,0.670345902442932,0.013449817895889001,Evening
392719839296761857,1382455880.0,2013-10-22 18:31:20,0.042444780468940006,0.5502300262451171,0.31100636720657304,0.073350682854652,0.022968135774135003,Afternoon
