ID,Tweet,Timestamp,date
991463457412341760,"RT @hobybIo: You guys know how Yoongi and Jimin's wings seals were combined? That'd mean ""First Love"" + ""Lie"" = Fake Love? https://t.co/dod…",1525207483.0,2018-05-01 23:44:43
991462925041897472,@billboard @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/tNlZDaIDVU,1525207356.0,2018-05-01 23:42:36
991459465722556416,RT @NissizOfficial: @bangtan_life23 @BTS_twt Real LOVE. Fake LOVE. LOVE YOURSELF. LOVE MYSELF. LOVE YOURSELF ESO DICE AAYUDA,1525206531.0,2018-05-01 23:28:51
991458969825808384,@BTS_Peru @BTS_twt @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/GLnPd5i8ee,1525206413.0,2018-05-01 23:26:53
991457723014402048,@mochibabygirl NO MAMES ESTOY CONVULSIONANDO JFKFDNDKSLSLA @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS… https://t.co/1aynKqsKpu,1525206116.0,2018-05-01 23:21:56
991457406482812935,RT @mochibabygirl: #FakeLoveIsComing TODO ESTÉ TIEMPO HA ESTADO FRENTE A NOSOTRXS https://t.co/zmlmJnGpNp,1525206040.0,2018-05-01 23:20:40
991457130350772224,@AndyLoveMyself_ @Young_foreverV @BTS_twt Este chico lo filtró todo todillo v: https://t.co/woisS460oH,1525205974.0,2018-05-01 23:19:34
991456318874705920,RT @MNattsuro: #PremiosMTVMiaw #MTVLAKPOPBTS #MTVBRKPOPBTS @BTS_twt 朝起きたらRT 学校、仕事行く前にポチしましょか(｀・ω・´)ゞ,1525205781.0,2018-05-01 23:16:21
991456099319668737,@HoseokArg @Mang_Hope_World @BTS_twt ME @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO… https://t.co/NBwpMEQ0Xd,1525205729.0,2018-05-01 23:15:29
991454893058686977,@yoongisstan @BTS_twt Y sii Love Yourself TEAR TEAR = LÁGRIMA Es OBVIO que este álbum nos va a hacer llorar kfkf bb kfkdld,1525205441.0,2018-05-01 23:10:41
991454469509599233,@yoongisstan @BTS_twt Ahí lo tienen @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO… https://t.co/hPoEw0lXV8,1525205340.0,2018-05-01 23:09:00
991454296540700677,RT @yoongisstan: SI UNA DE LAS CANCIONES SE LLAMA FAKE LOVE DESDE YA NOS PODEMOS DAR CUENTA QUE VAMOS A LLORAR @BTS_twt #PremiosMTVMiaw…,1525205299.0,2018-05-01 23:08:19
991453805320572928,@Jin_Butterfly @Cele_BangtanArg @BTS_twt @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO… https://t.co/2fFupJ8OUW,1525205182.0,2018-05-01 23:06:22
991452391701696512,@taesrun @Minice4 @BTS_twt LPM @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/xO7Rd9MK4r,1525204845.0,2018-05-01 23:00:45
991451711620419585,RT @fanmutualsbts: rt if you see your country❤ @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS 1.S.KOREA 2.CHINA 3.INDONESIA 4.PAKISTAN 5. US 6.THA…,1525204682.0,2018-05-01 22:58:02
991451232932913152,@HoseokArg @Cele_BangtanArg Así estoy @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO… https://t.co/2SQ5QlY6rh,1525204568.0,2018-05-01 22:56:08
991421013136158721,RT @NamLoveJin: @jiminxhm02 @BTS_twt #PremiosMTVMiaw #MTVBRKPOPBTS #MTVBRFANDOMBTS #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO @BTS_twt…,1525197363.0,2018-05-01 20:56:03
991420983901851649,RT @Conny10925490: @jiminxhm02 @ahrehobi @BTS_twt Bebe lindo 😻 #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVBRKPOPBTS #MTVLADANCEGOGO…,1525197356.0,2018-05-01 20:55:56
991420973386616832,RT @NamLoveJin: @jiminxhm02 @BTS_twt #PremiosMTVMiaw #MTVBRKPOPBTS #MTVBRFANDOMBTS #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO @BTS_twt…,1525197354.0,2018-05-01 20:55:54
991420560302313473,@jiminxhm02 @Daeggull @BTS_twt @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/Ikk9HlqCf7,1525197255.0,2018-05-01 20:54:15
991420217447370752,@bts_amanda_jin @BTS_twt @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/mvdJ1uyoQe,1525197174.0,2018-05-01 20:52:54
991420092033458177,@bts_amanda_jin @BTS_twt @BTS_twt #PremiosMTVMiaw #MTVLAKPOPBTS #MTVLAFANARMYBTS #MTVLADANCEGOGO #MTVBRKPOPBTS https://t.co/pvlVDBqSFe,1525197144.0,2018-05-01 20:52:24
